"022.0059-7/at",171.022.0059.7,1
"022.0138-0/at",171.022.0138.0,1
"022.0149-0/at",171.022.0149.0,1
"022.0161-0/at",171.022.0161.0,1
"022.0166-0/at",171.022.0166.0,1
"022.0204-0/at",171.022.0204.0,1
"022.0232-0",171.022.0232.0,1
"023.0290-0/na",171.023.0290.3,1
"0303747",310.1600.400,20
"0303885",312.L55.300,20
"0304002",312.ME.250,20
"0304077",312.LPA.325,20
"0304078",312.LPA.400,20
"04000750000000",230.INOX.750,2
"046221400052",106.CA.462214,5
"046221800050",106.CA.462218,5
"046222400051",106.CA.462224,5
"046223200056",106.CA.462232,5
"046231000051",106.CA.462310,5
"046241800054",106.CA.462418,5
"046242400055",106.CA.462424,5
"050",266.CR.80.100,50
"050958763",9.11.110,175
"07003022",319.H.14,1
"07003023",319.H.16,1
"07798163947579",602.H.F4201.2,1
"07891504157153",380.TLEM.12.32,1
"07892261099106",910.22.200,30
"07899840705502",210.A.80,50
"07899840705519",210.A.100,50
"07899840705526",210.A.120,50
"079567520108",180.GC,1
"088381000017",162.1100,1
"088381000123",162.3601B,1
"088381000840",162.6906,1
"088381000987",162.9207SPB,1
"088381001144",162.9924DB,1
"088381001397",162.JR3000V,1
"088381001410",162.JS1600,1
"088381001434",162.JS3200,1
"088381001830",162.PC1100,1
"088381001984",162.1900B,1
"088381002240",162.1911B,1
"088381002837",162.4190DW,1
"088381003001",162.6501,1
"088381003452",162.1923H,1
"088381003834",162.6805BV,1
"088381003841",162.HM0810,1
"088381003865",162.HM1400,1
"088381006545",162.6905H,1
"088381008389",162.6300L,1
"088381011891",162.3612C,1
"088381015219",162.6821,1
"088381015448",162.JN1601,1
"088381015486",162.9046,1
"088381016223",162.6793D,1
"088381019699",162.6911HDW,1
"088381020107",162.LS1040,1
"088381022163",162.5606B,1
"08838102263",162.5606B,1
"088381022880",162.LS1013,1
"088381022989",162.HM0810T,1
"088381024044",162.9227CB,1
"088381024143",162.UC120DWA,1
"088381025195",162.6834,1
"088381025461",162.9911,1
"088381025621",162.9403,1
"088381026222",162.2414NB,1
"088381026246",162.5740NB,1
"088381030397",162.HM1202C,1
"088381030694",162.HR3000C,1
"088381032223",162.EM4251,1
"088381032308",162.EM4250,1
"088381032759",162.9920,1
"088381032858",162.2012NB,1
"088381034579",162.GD800C,1
"088381034586",162.GD810C,1
"088381035163",162.BO3700,1
"088381036917",162.6952,1
"088381037945",162.BO6030,1
"088381038317",162.6827,1
"088381041324",162.LS1221,1
"088381042451",162.BO4900,1
"088381043076",162.6317DWAE,1
"088381043175",162.6347DWAE,1
"088381043212",162.HP2050,1
"088381045278",162.8422B,1
"088381046589",162.6823N,1
"088381046596",162.6824N,1
"088381050043",162.HM1304B,1
"088381051644",162.HP2070,1
"088381052382",162.N5900B,1
"088381052627",162.SG1250,1
"088381052917",162.HP1620,1
"088381053181",162.6916FDWA,1
"088381053198",162.HM0860C,1
"088381054379",162.UB1101,1
"088381056366",162.GA7010C,1
"088381056373",162.GA9010C,1
"088381056465",162.LS1214F,1
"088381056472",162.SA7000C,1
"088381061322",162.JR3070CT,1
"088381061407",162.JR3050T,1
"088381061773",162.9554NB,1
"088381062855",162.TW1000,1
"088381063364",162.9557NBK,1
"088381063890",162.9554NBK,1
"088381065412",162.HM1810,1
"088381066082",162.HR4010C,1
"088381066303",162.HR4011C,1
"088381067454",162.3709,1
"0883810674562",162.3709,6
"088381068093",162.GA7020C,1
"088381068130",162.GA9020C,1
"088381070003",162.UC4020A,1
"088381072441",162.GA7030,1
"088381072533",162.GA9030,1
"088381073318",162.GD0600,1
"088381074445",162.GA7040S,1
"088381074452",162.GA9040S,1
"088381079549",162.KP0810C,1
"088381080132",162.HR5211C,1
"088381080590",162.4350CT,1
"088381081009",162.MLS100,1
"088381081177",162.6413,1
"088381081290",162.HR5201C,1
"088381081566",162.HR4002C,1
"088381081658",162.HR2470,1
"088381081719",162.BO4555,1
"088381083249",162.GA5020,1
"088381083669",162.4328,1
"088381083829",162.HR2810,1
"088381084970",162.HR4501C,1
"088381090803",162.6723DW,1
"088381092128",162.6281DWPLE,1
"088381092395",162.8271DWPE3,1
"088381092517",162.8281DWPE3,1
"088381092715",162.BO5030,1
"088381092814",162.8391DWPE3,1
"088381093101",162.HP1630,1
"088381095082",162.MLT100,1
"088381095860",162.9557HP,1
"088381096614",162.HP1640,1
"088381096959",162.GA4530,1
"088381097307",162.6271DWPEX,1
"088381097314",162.DF330DWE,1
"088381097512",162.4100NSZ,1
"088381098212",162.TD0100,1
"088381099196",162.RP0900,1
"088381101042",162.793346.8,2
"088381114134",162.B.01024,1
"088381158251",162.193242.4,1
"088381169110",162.D.00511,1
"088381169127",162.D.00527,1
"088381169165",162.D.00561,1
"088381169264",162.D.00278,1
"088381173650",162.D.03486,1
"088381173759",162.D.03414,1
"088381174343",162.D.03919,1
"088381179539",162.D.07870,1
"088381181600",162.D.07917,2
"088381182911",162.D.08676,1
"088381182935",162.D.08698,1
"088381183673",162.D.08822,2
"088381184144",162.D.09117,1
"088381184830",162.D.09640,1
"088381187756",162.D.16380,2
"088381188401",162.D.16374,1
"088381191357",162.195430.9,1
"088381191487",162.B.04123,1
"088381192880",162.D.26602,1
"088381192897",162.D.26571,1
"088381253826",162.D.19180,1
"088381277709",162.D.26618,1
"088381312844",162.D.23759,1
"088381352956",162.B.11782,1
"088381352970",162.B.11807,1
"088381353724",162.B.11994,1
"088381353755",162.B.12027,1
"088381357289",162.194992.4,2
"088381357326",162.194996.6,2
"088381357371",162.195001.2,2
"088381357494",162.195015.1,2
"088381364836",162.D.34425,1
"088381364843",162.D.34431,1
"088381600873",162.FS4200,1
"088381601986",162.HM1203C,1
"088381603171",162.FS2200,1
"088381603249",162.FS2700,1
"088381603324",162.BO3710,1
"088381603966",162.KP0800,1
"088381604642",162.HM1307C,1
"088381604765",162.BO4558,1
"088381605311",162.HM0870C,1
"088381606011",162.GA7050,1
"088381606073",162.GA9050,1
"088381612043",162.HR2470X6,1
"088381621595",162.MRP101,1
"088381624565",162.CC300DW,1
"088381634113",162.JS1602,1
"088381636223",162.9557HPG,1
"088381636254",162.9557HNG,1
"088381637749",162.JS3201,1
"0ek024745",380.052.280,1
"0ek024747",380.052.280,1
"0ek024748",380.052.280,1
"1",266.E.1,1
"1.11.100",1.11.100,200
"1.11.100.350",1.11.100,350
"1.11.100.50",1.11.100,50
"1.11.110",1.11.110,200
"1.11.110.350",1.11.110,350
"1.11.110.50",1.11.110,50
"1.11.125",1.11.125,250
"1.11.125.250",1.11.125,250
"1.11.125.50",1.11.125,50
"1.11.140",1.11.140,250
"1.11.140.250",1.11.140,250
"1.11.140.50",1.11.140,50
"1.11.155",1.11.155,200
"1.11.19",1.11.19,1200
"1.11.22",1.11.22,1000
"1.11.22.1000",1.11.22,1000
"1.11.22.200",1.11.22,200
"1.11.25",1.11.25,800
"1.11.25.1000",1.11.25,1000
"1.11.25.200",1.11.25,200
"1.11.32",1.11.32,600
"1.11.32.1000",1.11.32,1000
"1.11.32.200",1.11.32,200
"1.11.38",1.11.38,400
"1.11.38.100",1.11.38,100
"1.11.38.700",1.11.38,700
"1.11.44",1.11.44,400
"1.11.44.100",1.11.44,100
"1.11.44.700",1.11.44,700
"1.11.50",1.11.50,700
"1.11.50.100",1.11.50,100
"1.11.50.700",1.11.50,700
"1.11.56",1.11.56,500
"1.11.56.100",1.11.56,100
"1.11.56.500",1.11.56,500
"1.11.63",1.11.63,500
"1.11.63.100",1.11.63,100
"1.11.63.500",1.11.63,500
"1.11.70",1.11.70,500
"1.11.70.100",1.11.70,100
"1.11.70.500",1.11.70,500
"1.11.76",1.11.76,400
"1.11.76.100",1.11.76,100
"1.11.76.400",1.11.76,400
"1.11.82",1.11.82,200
"1.11.82.300",1.11.82,300
"1.11.82.50",1.11.82,50
"1.11.90",1.11.90,200
"1.11.90.350",1.11.90,350
"1.11.90.50",1.11.90,50
"1.12.100",1.12.100,250
"1.12.100.250",1.12.100,250
"1.12.100.50",1.12.100,50
"1.12.110",1.12.110,200
"1.12.110.200",1.12.110,200
"1.12.110.50",1.12.110,50
"1.12.125",1.12.125,200
"1.12.125.200",1.12.125,200
"1.12.125.50",1.12.125,50
"1.12.140",1.12.140,150
"1.12.140.150",1.12.140,150
"1.12.140.50",1.12.140,50
"1.12.155",1.12.155,150
"1.12.155.150",1.12.155,150
"1.12.155.50",1.12.155,50
"1.12.175",1.12.175,100
"1.12.19",1.12.19,800
"1.12.200",1.12.200,100
"1.12.22",1.12.22,600
"1.12.225",1.12.225,100
"1.12.25",1.12.25,400
"1.12.250",1.12.250,100
"1.12.275",1.12.275,150
"1.12.300",1.12.300,150
"1.12.32",1.12.32,400
